symbol,price,price_change,price_percent_change
STPV,53.85,-3.75,-0.47%
VMJM,252.04,6.95,-0.22%
LQC,226.17,-9.29,-4.29%
RDY,333.63,4.91,3.49%
BTDO,416.61,6.15,-1.78%
RPFK,358.57,1.01,-0.87%
LUS,159.45,8.2,2.72%
ZXWF,347.65,-3.19,-4.14%
AOK,91.93,-4.91,-4.31%
RVIW,334.55,9.44,2.74%
EJJ,231.87,-2.41,-1.1%
COIS,49.24,7.97,0.13%
BWC,222.19,2.7,-4.25%
RUKI,332.53,4.0,-4.39%
JZNQ,293.79,0.72,-3.7%
WADN,337.88,7.64,2.55%
AUXD,424.99,6.86,2.46%
UGVU,467.5,5.2,-3.29%
ATT,107.73,5.5,1.79%
OJE,335.64,6.93,-4.05%
NAHO,142.64,-3.25,-3.7%
VIZX,258.02,-6.05,-3.38%
FMT,374.46,2.59,2.41%
LFD,491.07,9.62,-2.68%
FWH,35.09,2.46,-2.08%
LKJY,178.46,8.92,-2.3%
CLF,208.38,-9.86,-1.41%
VXPX,86.16,8.77,-0.22%
VCFS,118.75,7.79,-3.94%
HZMH,140.91,2.42,-0.43%
XBAU,162.09,9.46,1.51%
OJJA,318.98,9.25,2.59%
QXE,344.73,-1.08,-1.82%
JRHT,389.06,2.97,-2.86%
GATZ,253.28,7.9,-2.45%
CPEL,133.69,1.6,-0.68%
FUF,450.82,3.05,-4.29%
BDJ,114.08,2.31,3.29%
MSWT,495.49,-6.28,4.49%
AQF,46.77,0.42,-0.01%
AFAS,237.28,-1.01,0.55%
WKUN,265.23,-5.78,-0.11%
IJKD,212.15,-5.06,-4.35%
RQLZ,413.94,7.59,1.49%
TPJF,374.13,-5.62,2.32%
ZLT,499.03,9.54,2.21%
EJE,21.41,0.47,-2.15%
OHV,444.36,8.88,-0.05%
VOB,481.91,-5.32,-3.94%
JZB,452.42,-5.49,4.24%
USN,68.12,8.83,-3.29%
BVN,174.24,8.23,3.72%
GJS,331.02,5.75,-2.75%
QULX,394.61,7.57,-3.99%
XOQJ,384.84,-0.24,-1.96%
WXH,385.13,-4.6,2.54%
VETO,46.01,6.99,-4.12%
OVE,399.48,-9.71,0.44%
WBFK,307.46,-9.25,-1.03%
ALX,91.41,2.81,-0.43%
JFN,109.3,-8.56,2.71%
NGXP,143.21,9.42,-2.95%
MUFG,214.78,6.89,2.13%
WJE,278.55,3.17,0.28%
CPH,28.09,-9.84,3.84%
KUYM,441.4,4.6,3.54%
WLSP,215.84,2.76,-4.07%
OYB,339.65,-0.04,2.27%
YKTF,324.38,-0.43,-1.86%
