,Unnamed: 0,Volume,Last,Chg,% Chg
0,QVC Group Inc. Series B (QVCGB),5.5M,9.72,4.64,91.34
1,Porch Group Inc. (PRCH),32.0M,6.6,2.81,74.14
2,Mullen Automotive Inc. (MULN),94.6M,4.04,1.68,71.19
3,Thumzup Media Corp. (TZUP),716.8K,3.17,0.88,38.43
4,PicoCELA Inc. ADR (PCLA),1.9M,8.38,2.2,35.6
5,B. Riley Financial Inc. (RILY),15.4M,5.64,1.48,35.58
6,Aureus Greenway Holdings Inc. (AGH),5.0M,4.95,1.26,34.15
7,Gaotu Techedu Inc. ADR (GOTU),15.1M,3.32,0.79,31.23
8,Avalon GloboCare Corp. (ALBT),330.9K,8.33,1.84,28.35
9,Nukkleus Inc. (NUKK),508.6K,13.29,2.93,28.28
10,CommScope Holding Co. Inc. (COMM),21.1M,6.17,1.28,26.18
11,SoundThinking Inc. (SSTI),142.5K,16.91,3.23,23.61
12,ZoomInfo Technologies Inc. (ZI),37.4M,11.73,2.2,23.08
13,Coeptis Therapeutics Holdings Inc. (COEP),130.8K,11.28,1.97,21.16
14,ASP Isotopes Inc. (ASPI),4.1M,5.1,0.89,21.14
15,ACM Research Inc. Cl A (ACMR),5.9M,27.69,4.75,20.71
16,MultiPlan Corp. (MPLN),305.0K,23.51,3.9,19.89
17,Volato Group Inc. (SOAR),571.7K,2.53,0.41,19.34
18,Siyata Mobile Inc. (SYTA),23.3M,4.17,0.67,19.14
19,CEVA Inc. (CEVA),1.0M,38.44,5.94,18.28
20,Huron Consulting Group Inc. (HURN),596.5K,148.18,22.85,18.23
21,Oatly Group AB ADR (OTLY),808.8K,8.08,1.24,18.13
22,Innovex International Inc. (INVX),866.5K,18.93,2.79,17.29
23,Coincheck Group N.V. (CNCK),53.6K,7.11,1.01,16.56
24,Lantheus Holdings Inc. (LNTH),2.7M,93.25,13.2,16.49
25,Nano Nuclear Energy Inc. (NNE),5.1M,29.64,4.14,16.24
26,Springview Holdings Ltd. (SPHL),811.9K,3.34,0.46,15.97
27,Alliance Entertainment Holding Corp. (AENT),145.1K,4.23,0.57,15.57
28,High-Trend International Group (HTCO),75.9K,2.83,0.38,15.51
29,CTRL Group Ltd. (MCTR),153.2K,6.54,0.87,15.35
30,SkyWater Technology Inc. (SKYT),1.7M,10.19,1.35,15.27
31,Axon Enterprise Inc. (AXON),2.8M,572.4,75.75,15.25
32,Madrigal Pharmaceuticals Inc. (MDGL),1.2M,355.88,46.39,14.99
33,XPeng Inc. ADR (XPEV),28.9M,21.99,2.86,14.95
34,Karyopharm Therapeutics Inc. (KPTI),541.3K,9.83,1.27,14.79
35,Femto Technologies Inc. (FMTO),897.3K,6.02,0.74,14.02
36,Astec Industries Inc. (ASTE),489.0K,35.49,4.32,13.86
37,Mobilicom Ltd. ADR (MOB),129.6K,2.29,0.27,13.37
38,Janus International Group Inc. (JBI),4.4M,9.11,1.05,13.03
39,LexinFintech Holdings Ltd. ADR (LX),5.9M,9.12,1.05,13.01
40,Sight Sciences Inc. (SGHT),262.9K,2.81,0.32,12.85
41,Humacyte Inc. (HUMA),4.6M,3.43,0.39,12.83
42,Intuit Inc. (INTU),4.7M,625.51,69.88,12.58
