Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
FRGE,"Forge Global Holdings, Inc.",,12.30 +3.61 (+41.54%),3.61,+41.54%,1.023M,84937,154.278M,--,-58.38%,
DSNKY,"Daiichi Sankyo Company, Limited",,22.85 +1.15 (+5.30%),1.15,+5.30%,104148,290591,42.711B,25.11,-24.56%,
ATHM,Autohome Inc.,,27.04 +1.22 (+4.73%),1.22,+4.73%,386250,550081,3.203B,15.02,+9.30%,
KTB,"Kontoor Brands, Inc.",,57.33 +2.33 (+4.24%),2.33,+4.24%,807025,829375,3.172B,13.15,-4.81%,
NCLTY,"Nitori Holdings Co., Ltd.",,12.66 +0.48 (+3.94%),0.48,+3.94%,23542,184273,14.307B,23.02,-7.73%,
SVNDY,"Seven & i Holdings Co., Ltd.",,14.25 +0.53 (+3.86%),0.53,+3.86%,36564,225285,37.351B,30.32,+8.04%,
TBBB,BBB Foods Inc.,,26.94 +0.95 (+3.66%),0.95,+3.66%,1.095M,1.052M,2.968B,224.50,+34.36%,
YMM,Full Truck Alliance Co. Ltd.,,10.43 +0.36 (+3.57%),0.36,+3.57%,8.82M,9.879M,10.532B,25.44,+27.82%,
DFS,Discover Financial Services,,165.31 +5.68 (+3.56%),5.68,+3.56%,4.637M,2.211M,41.593B,9.33,+27.91%,
BVN,Compañía de Minas Buenaventura S.A.A.,,14.77 +0.47 (+3.29%),0.47,+3.29%,941078,1.111M,3.747B,10.19,-6.22%,
GOFPY,Organization of Football Prognostics S.A.,,11.36 +0.36 (+3.27%),0.36,+3.27%,24768,14426,8.147B,14.95,+28.80%,
,,,,,,,,,,,
