,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,HSAI,Hesai Group,,16.90 +3.01 (+21.65%),3.01,+21.65%,3.25M,3.177M,2.154B,-,249.87%,
1,TTMI,"TTM Technologies, Inc.",,29.61 +4.83 (+19.49%),4.83,+19.49%,700594,602178,3.019B,44.86,62.81%,
2,PTON,"Peloton Interactive, Inc.",,8.76 +1.18 (+15.50%),1.18,+15.50%,30.725M,12.542M,3.34B,-,67.33%,
3,FNMA,Federal National Mortgage Association,,6.95 +0.97 (+16.22%),0.97,+16.22%,2.888M,20.935M,8.049B,-,360.00%,
4,RL,Ralph Lauren Corporation,,286.90 +37.90 (+15.23%),37.9,+15.23%,558060,699225,17.816B,27.38,44.89%,
5,FMCC,Federal Home Loan Mortgage Corporation,,6.20 +0.81 (+15.03%),0.81,+15.03%,1.194M,9.165M,4.03B,-,403.74%,
6,TPR,"Tapestry, Inc.",,84.14 +10.76 (+14.66%),10.76,+14.66%,5.172M,4.873M,19.606B,24.39,70.69%,
7,COHR,Coherent Corp.,,101.54 +11.44 (+12.69%),11.44,+12.69%,3.327M,2.967M,15.704B,-,45.77%,
8,MT,ArcelorMittal S.A.,,28.41 +2.93 (+11.50%),2.93,+11.50%,2.473M,1.639M,22.098B,-,-11.10%,
9,SCGLY,Société Générale Société anonyme,,7.27 +0.74 (+11.33%),0.74,+11.33%,21622,584993,28.953B,12.12,34.36%,
10,IDCC,"InterDigital, Inc.",,202.68 +20.18 (+11.06%),20.18,+11.06%,237685,353518,5.137B,21.86,75.53%,
11,WRD,WeRide Inc.,,15.46 +1.46 (+10.41%),1.46,+10.41%,51274,122268,4.243B,-,-16.62%,
12,ASTS,"AST SpaceMobile, Inc.",,27.35 +2.65 (+10.70%),2.65,+10.70%,6.118M,9.451M,7.926B,-,677.04%,
13,AGX,"Argan, Inc.",,156.58 +13.59 (+9.50%),13.59,+9.50%,210200,379176,2.126B,32.62,211.93%,
14,BYDDY,BYD Company Limited,,79.47 +6.74 (+9.27%),6.74,+9.27%,67391,260361,121.491B,24.45,54.78%,
15,KC,Kingsoft Cloud Holdings Limited,,17.03 +1.42 (+9.10%),1.42,+9.10%,2.753M,3.869M,4.092B,-,493.54%,
16,FNMAH,Federal National Mortgage Association,,9.99 +0.79 (+8.59%),0.79,+8.59%,22211,113785,14.218B,1427.14,211.01%,
17,XPO,"XPO, Inc.",,147.58 +11.27 (+8.27%),11.27,+8.27%,767683,1.495M,17.179B,47.92,15.48%,
18,PM,Philip Morris International Inc.,,142.22 +11.24 (+8.59%),11.24,+8.59%,4.361M,5.066M,221.128B,22.57,47.15%,
19,BYDDF,BYD Company Limited,,39.60 +3.05 (+8.34%),3.05,+8.34%,39580,60980,120.515B,24.44,55.53%,
20,CENT,Central Garden & Pet Company,,40.08 +3.01 (+8.12%),3.01,+8.12%,32602,117926,2.314B,24.74,-4.98%,
21,YUM,"Yum! Brands, Inc.",,141.77 +10.52 (+8.02%),10.52,+8.02%,1.926M,1.776M,39.564B,26.45,0.65%,
22,DAR,Darling Ingredients Inc.,,38.92 +2.88 (+7.98%),2.88,+7.98%,516473,2.221M,6.191B,24.03,-12.31%,
23,CENTA,Central Garden & Pet Company,,34.17 +2.48 (+7.83%),2.48,+7.83%,68880,281853,2.308B,21.09,-8.54%,
24,PBH,Prestige Consumer Healthcare Inc.,,82.15 +6.05 (+7.95%),6.05,+7.95%,42719,282278,4.059B,20.04,10.61%,
25,SMCI,"Super Micro Computer, Inc.",,33.97 +2.48 (+7.88%),2.48,+7.88%,21.242M,68.525M,19.892B,16.90,-54.89%,
26,ZK,ZEEKR Intelligent Technology Holding Limited,,26.86 +1.72 (+6.84%),1.72,+6.84%,258466,842425,6.65B,-,-11.04%,
27,NVST,Envista Holdings Corporation,,22.09 +1.52 (+7.41%),1.52,+7.41%,1.5M,1.996M,3.802B,-,-8.33%,
28,AMTM,"Amentum Holdings, Inc.",,24.19 +1.51 (+6.66%),1.51,+6.66%,688125,2.901M,5.885B,-,-23.14%,
29,YUMC,"Yum China Holdings, Inc.",,48.72 +3.20 (+7.04%),3.2,+7.04%,414008,2.197M,18.348B,21.46,14.80%,
30,GTES,Gates Industrial Corporation plc,,22.12 +1.35 (+6.50%),1.35,+6.50%,731674,2.363M,5.634B,26.65,65.76%,
31,JBLU,JetBlue Airways Corporation,,6.51 +0.39 (+6.44%),0.39,+6.44%,5.204M,20.954M,2.26B,-,5.52%,
32,MKL,Markel Group Inc.,,"1,966.61 +106.47 (+5.72%)",106.47,+5.72%,19013,57080,25.295B,9.07,32.07%,
33,LNC,Lincoln National Corporation,,35.89 +2.12 (+6.28%),2.12,+6.28%,674371,1.269M,6.114B,25.10,27.87%,
34,ENVX,Enovix Corporation,,12.30 +0.74 (+6.36%),0.74,+6.36%,1.863M,6.092M,2.317B,-,8.08%,
35,VVV,Valvoline Inc.,,39.02 +2.18 (+5.92%),2.18,+5.92%,731907,1.499M,5.006B,23.94,-6.40%,
36,BASFY,BASF SE,,12.38 +0.68 (+5.81%),0.68,+5.81%,66576,289025,44.198B,88.43,-2.83%,
37,HLT,Hilton Worldwide Holdings Inc.,,272.86 +15.01 (+5.82%),15.01,+5.82%,617118,1.351M,66.518B,58.18,32.54%,
38,FLNC,"Fluence Energy, Inc.",,12.67 +0.73 (+6.12%),0.73,+6.12%,506271,3.354M,2.3B,97.46,-44.67%,
39,CX,"CEMEX, S.A.B. de C.V.",,6.34 +0.36 (+6.02%),0.36,+6.02%,2.953M,9.76M,9.372B,31.70,-25.06%,
40,BBAR,Banco BBVA Argentina S.A.,,22.16 +1.14 (+5.42%),1.14,+5.42%,179227,871011,5.237B,24.35,316.24%,
41,ENTG,"Entegris, Inc.",,109.56 +5.66 (+5.45%),5.66,+5.45%,503208,2.238M,16.543B,72.56,-16.71%,
42,ZETA,Zeta Global Holdings Corp.,,19.75 +0.97 (+5.17%),0.97,+5.17%,1.117M,8.779M,4.69B,-,92.22%,
43,FNMAS,Federal National Mortgage Association,,12.40 +0.61 (+5.17%),0.61,+5.17%,160812,2.389M,15.695B,1771.43,227.35%,
44,APTV,Aptiv PLC,,64.56 +3.29 (+5.36%),3.29,+5.36%,2.536M,3.786M,15.174B,7.19,-24.63%,
45,PLTR,Palantir Technologies Inc.,,107.06 +5.70 (+5.62%),5.7,+5.62%,28.692M,84.746M,243.885B,563.47,313.55%,
46,ALGN,"Align Technology, Inc.",,226.98 +10.62 (+4.91%),10.62,+4.91%,668916,711590,16.945B,40.32,-26.66%,
47,IREN,IREN Limited,,11.65 +0.58 (+5.19%),0.58,+5.19%,4.065M,17.482M,2.497B,-,117.06%,
48,LI,Li Auto Inc.,,24.50 +1.13 (+4.84%),1.13,+4.84%,2.159M,4.906M,25.825B,18.28,-23.38%,
49,IQV,IQVIA Holdings Inc.,,214.41 +8.97 (+4.37%),8.97,+4.37%,455736,1.622M,38.915B,28.21,-5.33%,
50,LMND,"Lemonade, Inc.",,36.69 +1.72 (+4.92%),1.72,+4.92%,660252,2.48M,2.62B,-,117.75%,
51,HSY,The Hershey Company,,152.24 +6.32 (+4.33%),6.32,+4.33%,1.23M,2.366M,30.807B,17.50,-27.87%,
52,SAIA,"Saia, Inc.",,524.82 +21.81 (+4.34%),21.81,+4.34%,126568,364695,13.958B,38.79,-9.06%,
